city,state,year,traditional_tco,cf_tco,cumulative_savings
Miami,FL,1,3947664,3475430,472234
Miami,FL,2,4159904,3501960,657944
Miami,FL,3,4372144,3528490,843654
Miami,FL,4,4584384,3555020,1029364
Miami,FL,5,4796624,3581550,1215074
Miami,FL,6,5008864,3608080,1400784
Miami,FL,7,8956528,3634610,5321918
Miami,FL,8,9168768,3661140,5507628
Miami,FL,9,9381008,3687670,5693338
Miami,FL,10,9593248,3714200,5879048
Miami,FL,11,9805488,3740730,6064758
Miami,FL,12,10017728,3767260,6250468
Miami,FL,13,10229968,3793790,6436178
Miami,FL,14,14177632,3820320,10357312
Miami,FL,15,14389872,3846850,10543022
Miami,FL,16,14602112,3873380,10728732
Miami,FL,17,14814352,3899910,10914442
Miami,FL,18,15026592,3926440,11100152
Miami,FL,19,15238832,3952970,11285862
Miami,FL,20,15451072,3979500,11471572
Miami,FL,21,19398736,7454930,11943806
Miami,FL,22,19610976,7481460,12129516
Miami,FL,23,19823216,7507990,12315226
Miami,FL,24,20035456,7534520,12500936
Miami,FL,25,20247696,7561050,12686646
Miami,FL,26,20459936,7587580,12872356
Miami,FL,27,20672176,7614110,13058066
Miami,FL,28,24619840,7640640,16979200
Miami,FL,29,24832080,7667170,17164910
Miami,FL,30,25044320,7693700,17350620
Fort Lauderdale,FL,1,1629360,1434450,194910
Fort Lauderdale,FL,2,1716960,1445400,271560
Fort Lauderdale,FL,3,1804560,1456350,348210
Fort Lauderdale,FL,4,1892160,1467300,424860
Fort Lauderdale,FL,5,1979760,1478250,501510
Fort Lauderdale,FL,6,2067360,1489200,578160
Fort Lauderdale,FL,7,3696720,1500150,2196570
Fort Lauderdale,FL,8,3784320,1511100,2273220
Fort Lauderdale,FL,9,3871920,1522050,2349870
Fort Lauderdale,FL,10,3959520,1533000,2426520
Fort Lauderdale,FL,11,4047120,1543950,2503170
Fort Lauderdale,FL,12,4134720,1554900,2579820
Fort Lauderdale,FL,13,4222320,1565850,2656470
Fort Lauderdale,FL,14,5851680,1576800,4274880
Fort Lauderdale,FL,15,5939280,1587750,4351530
Fort Lauderdale,FL,16,6026880,1598700,4428180
Fort Lauderdale,FL,17,6114480,1609650,4504830
Fort Lauderdale,FL,18,6202080,1620600,4581480
Fort Lauderdale,FL,19,6289680,1631550,4658130
Fort Lauderdale,FL,20,6377280,1642500,4734780
Fort Lauderdale,FL,21,8006640,3076950,4929690
Fort Lauderdale,FL,22,8094240,3087900,5006340
Fort Lauderdale,FL,23,8181840,3098850,5082990
Fort Lauderdale,FL,24,8269440,3109800,5159640
Fort Lauderdale,FL,25,8357040,3120750,5236290
Fort Lauderdale,FL,26,8444640,3131700,5312940
Fort Lauderdale,FL,27,8532240,3142650,5389590
Fort Lauderdale,FL,28,10161600,3153600,7008000
Fort Lauderdale,FL,29,10249200,3164550,7084650
Fort Lauderdale,FL,30,10336800,3175500,7161300
New York,NY,1,49620336,43684570,5935766
New York,NY,2,52288096,44018040,8270056
New York,NY,3,54955856,44351510,10604346
New York,NY,4,57623616,44684980,12938636
New York,NY,5,60291376,45018450,15272926
New York,NY,6,62959136,45351920,17607216
New York,NY,7,112579472,45685390,66894082
New York,NY,8,115247232,46018860,69228372
New York,NY,9,117914992,46352330,71562662
New York,NY,10,120582752,46685800,73896952
New York,NY,11,123250512,47019270,76231242
New York,NY,12,125918272,47352740,78565532
New York,NY,13,128586032,47686210,80899822
New York,NY,14,178206368,48019680,130186688
New York,NY,15,180874128,48353150,132520978
New York,NY,16,183541888,48686620,134855268
New York,NY,17,186209648,49020090,137189558
New York,NY,18,188877408,49353560,139523848
New York,NY,19,191545168,49687030,141858138
